num_atoms,num_res,load,process,run,total,pdbid
2220,300,0.05521225929260254,0.003064393997192383,0.04008316993713379,0.09835982322692871,4pyr
3382,488,0.05686783790588379,0.03501391410827637,0.061338186264038086,0.15321993827819824,6q58
3747,511,0.08462882041931152,0.05570101737976074,0.06788110733032227,0.20821094512939453,3sb5
7370,971,0.12385797500610352,0.03464627265930176,0.14004158973693848,0.29854583740234375,2je9
1803,234,0.04975318908691406,0.2674095630645752,0.035555124282836914,0.35271787643432617,6ms4
3769,529,0.054970741271972656,0.018033266067504883,0.06833195686340332,0.14133596420288086,5yxy
6449,814,0.10278725624084473,0.0564725399017334,0.1206202507019043,0.2798800468444824,3wra
950,125,0.02868795394897461,0.24361228942871094,0.0358734130859375,0.30817365646362305,4cgv
3590,481,0.06673574447631836,0.004201412200927734,0.06509566307067871,0.1360328197479248,6b7d
419,51,0.014208555221557617,0.13161253929138184,0.03527569770812988,0.18109679222106934,5ij4
3336,403,0.12169146537780762,0.004103660583496094,0.06051325798034668,0.1863083839416504,4naw
1942,264,0.033602237701416016,0.10190868377685547,0.035562753677368164,0.17107367515563965,6eqh
1996,252,0.03140664100646973,0.047417402267456055,0.03604602813720703,0.11487007141113281,6uvz
975,127,0.03791046142578125,0.0424351692199707,0.03539013862609863,0.11573576927185059,2l97
2735,346,0.04482269287109375,0.0033555030822753906,0.049190521240234375,0.09736871719360352,4v3j
5688,737,0.10155010223388672,0.012868642807006836,0.10513877868652344,0.219557523727417,6e7s
5319,656,0.08113861083984375,0.16069602966308594,0.0982060432434082,0.3400406837463379,4csa
5731,726,0.08931159973144531,0.13591718673706055,0.10598969459533691,0.3312184810638428,2hyb
1413,176,0.04250812530517578,0.19758343696594238,0.035668134689331055,0.2757596969604492,2srt
2863,360,0.0611577033996582,0.0034646987915039062,0.05144500732421875,0.11606740951538086,6rne
2869,351,0.05025029182434082,0.06673336029052734,0.05162525177001953,0.1686089038848877,1jej
1222,152,0.039867401123046875,0.0019686222076416016,0.03598737716674805,0.07782340049743652,3ihf
2382,311,0.09605097770690918,0.0030214786529541016,0.04287362098693848,0.14194607734680176,4pak
3613,443,0.054620981216430664,0.04340958595275879,0.06548452377319336,0.1635150909423828,4eai
1461,180,0.02327895164489746,0.0022275447845458984,0.035959482192993164,0.06146597862243652,3l0b
2991,384,0.04989933967590332,0.004062175750732422,0.0537567138671875,0.10771822929382324,5wfi
487,65,0.008033514022827148,0.11218428611755371,0.035520315170288086,0.15573811531066895,4e86
1044,132,0.02564215660095215,0.0015974044799804688,0.03570556640625,0.06294512748718262,3fr2
3305,413,0.061760902404785156,0.0038673877716064453,0.060098886489868164,0.12572717666625977,1i5z
2813,372,0.05074310302734375,0.08445978164672852,0.05072164535522461,0.18592453002929688,4bae
3232,419,0.06733274459838867,0.04817390441894531,0.05819106101989746,0.17369771003723145,6vu6
7683,1017,0.14548635482788086,0.008341550827026367,0.14618444442749023,0.30001235008239746,1l9p
5267,660,0.08183503150939941,0.25376439094543457,0.09746694564819336,0.43306636810302734,2zpa
4776,582,0.15702033042907715,0.06504487991333008,0.08739852905273438,0.3094637393951416,4hr0
1314,166,0.02765178680419922,0.16913747787475586,0.035562992095947266,0.23235225677490234,3hsg
2704,341,0.047948360443115234,0.0034303665161132812,0.04840898513793945,0.09978771209716797,3ogo
5257,679,0.09232950210571289,0.02025890350341797,0.09692692756652832,0.20951533317565918,1sll
4178,538,0.065887451171875,0.15567779541015625,0.07624053955078125,0.2978057861328125,1s9c
892,113,0.019634485244750977,0.15037107467651367,0.03562021255493164,0.2056257724761963,5eli
2469,300,0.038857460021972656,0.003023862838745117,0.044425249099731445,0.08630657196044922,3wa0
1540,200,0.02706170082092285,0.07256340980529785,0.035431623458862305,0.135056734085083,3e3u
2725,345,0.06705737113952637,0.003369569778442383,0.04900240898132324,0.11942934989929199,3rpd
1958,278,0.0347139835357666,0.07601213455200195,0.03565692901611328,0.14638304710388184,1peg
7148,880,0.1177530288696289,0.007762432098388672,0.135329008102417,0.26084446907043457,5dtl
6018,754,0.10149788856506348,0.20682120323181152,0.11213874816894531,0.4204578399658203,5ta7
5870,756,0.18373823165893555,0.07336258888244629,0.10863494873046875,0.3657357692718506,5tdf
3315,425,0.053269147872924805,0.004048824310302734,0.060198068618774414,0.11751604080200195,5fnc
1395,176,0.022540807723999023,0.0021448135375976562,0.03591632843017578,0.06060194969177246,4gzl
1299,165,0.02117633819580078,0.027957677841186523,0.03543400764465332,0.08456802368164062,1in0
6491,818,0.09630346298217773,0.007273197174072266,0.12129712104797363,0.22487378120422363,3t33
3443,431,0.057090044021606445,0.2196037769317627,0.06255388259887695,0.3392477035522461,6ar9
3310,437,0.054038047790527344,0.08752679824829102,0.060149192810058594,0.20171403884887695,6p7h
2163,281,0.035738229751586914,0.09956097602844238,0.038630008697509766,0.17392921447753906,5jzm
